Date,Device Category,Sessions
2014-08-04,desktop,2415686
2014-08-05,desktop,2049847
2014-08-06,desktop,2449965
2014-08-07,desktop,2496374
2014-08-08,desktop,1757204
2014-08-09,desktop,868662
2014-08-10,desktop,693660
2014-08-11,desktop,2277464
2014-08-12,desktop,2521294
2014-08-13,desktop,2527730
2014-08-14,desktop,2003730
2014-08-15,desktop,2061375
2014-08-16,desktop,802873
2014-08-17,desktop,613202
2014-08-18,desktop,2250827
2014-08-19,desktop,2380907
2014-08-20,desktop,2277498
2014-08-21,desktop,2145937
2014-08-22,desktop,1924803
2014-08-23,desktop,919988
2014-08-24,desktop,847498
2014-08-25,desktop,2608905
2014-08-26,desktop,2659861
2014-08-27,desktop,2743407
2014-08-28,desktop,2311308
2014-08-29,desktop,2122768
2014-08-30,desktop,889620
2014-08-31,desktop,997429
2014-09-01,desktop,1149026
2014-09-02,desktop,2870931
2014-09-03,desktop,2984960
2014-09-04,desktop,3015484
2014-09-05,desktop,2281524
2014-09-06,desktop,1331400
2014-09-07,desktop,1322683
2014-09-08,desktop,3855751
2014-09-09,desktop,3993642
2014-09-10,desktop,4100197
2014-09-11,desktop,3846588
2014-09-12,desktop,3497778
2014-09-13,desktop,1771813
2014-09-14,desktop,2247308
2014-09-15,desktop,4354148
2014-09-16,desktop,4246300
2014-09-17,desktop,4048230
2014-09-18,desktop,3899140
2014-09-19,desktop,3542091
2014-09-20,desktop,1783989
2014-09-21,desktop,1955237
2014-09-22,desktop,4289509
2014-09-23,desktop,4256199
2014-09-24,desktop,4184279
2014-09-25,desktop,3748212
2014-09-26,desktop,3330392
2014-09-27,desktop,1827118
2014-09-28,desktop,2022556
2014-09-29,desktop,4165102
2014-09-30,desktop,4229746
2014-10-01,desktop,3726043
2014-10-02,desktop,3707805
2014-10-03,desktop,3072279
2014-10-04,desktop,1795208
2014-10-05,desktop,1924441
2014-10-06,desktop,4154084
2014-10-07,desktop,3969274
2014-10-08,desktop,4103092
2014-10-09,desktop,3892426
2014-10-10,desktop,3423354
2014-10-11,desktop,1633625
2014-10-12,desktop,1910634
2014-10-13,desktop,3611104
2014-10-14,desktop,4110184
2014-10-15,desktop,4099599
2014-10-16,desktop,3537271
2014-10-17,desktop,3179642
2014-10-18,desktop,1864656
2014-10-19,desktop,2048583
2014-10-20,desktop,4219342
2014-10-21,desktop,4192742
2014-10-22,desktop,4131723
2014-10-23,desktop,3688550
2014-10-24,desktop,3301261
2014-10-25,desktop,1769169
2014-10-26,desktop,2158928
2014-10-27,desktop,3913280
2014-10-28,desktop,4255322
2014-10-29,desktop,3930711
2014-10-30,desktop,3909654
